number,name,status
PEP 1,PEP Purpose and Guidelines,Active
PEP 693,Python 3.12 Release Schedule,Active
PEP 745,Python 3.14 Release Schedule,Active
PEP 801,Reserved,Active
PEP 8002,Open Source Governance Survey,Final
PEP 719,Python 3.13 Release Schedule,Active
PEP 8000,Python Language Governance Proposal Overview,Final
PEP 664,Python 3.11 Release Schedule,Active
PEP 672,Unicode-related Security Considerations for Python,Active
PEP 635,Structural Pattern Matching: Motivation and Rationale,Final
PEP 636,Structural Pattern Matching: Tutorial,Final
PEP 8016,The Steering Council Model,Accepted
PEP 607,Reducing CPython’s Feature Delivery Latency,Final
PEP 8014,The Commons Governance Model,Rejected
PEP 630,Isolating Extension Modules,Final
PEP 3333,Python Web Server Gateway Interface v1.0.1,Final
PEP 8013,The External Council Governance Model,Rejected
PEP 8012,The Community Governance Model,Rejected
PEP 8010,The Technical Leader Governance Model,Rejected
PEP 3153,Asynchronous IO support,Superseded
PEP 3152,Cofunctions,Rejected
PEP 8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
PEP 3142,Add a “while” clause to generator expressions,Rejected
PEP 3145,Asynchronous I/O For subprocess.Popen,Withdrawn
PEP 3140,"str(container) should call str(item), not repr(item)",Rejected
PEP 3139,Cleaning out sys and the “interpreter” module,Rejected
PEP 3136,Labeled break and continue,Rejected
PEP 3133,Introducing Roles,Rejected
PEP 3146,Merging Unladen Swallow into CPython,Withdrawn
PEP 3130,Access to Current Module/Class/Function,Rejected
PEP 8015,Organization of the Python community,Rejected
PEP 3128,BList: A Faster List-like Type,Rejected
PEP 619,Python 3.10 Release Schedule,Active
PEP 3125,Remove Backslash Continuation,Rejected
PEP 3117,Postfix type declarations,Rejected
PEP 3103,A Switch/Case Statement,Rejected
PEP 754,IEEE 754 Floating Point Special Values,Rejected
PEP 3122,Delineation of the main module,Rejected
PEP 726,Module ,Rejected
PEP 3126,Remove Implicit String Concatenation,Rejected
PEP 3001,Procedure for reviewing and improving standard library modules,Withdrawn
PEP 724,Stricter Type Guards,Withdrawn
PEP 713,Callable Modules,Rejected
PEP 707,A simplified signature for __exit__ and __aexit__,Rejected
PEP 722,Dependency specification for single-file scripts,Rejected
PEP 704,Require virtual environments by default for package installers,Withdrawn
PEP 712,Adding a “converter” parameter to dataclasses.field,Rejected
PEP 666,Reject Foolish Indentation,Rejected
PEP 690,Lazy Imports,Rejected
PEP 663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
PEP 677,Callable Type Syntax,Rejected
PEP 665,A file format to list Python dependencies for reproducibility of an application,Rejected
PEP 651,Robust Stack Overflow Handling,Rejected
PEP 650,Specifying Installer Requirements for Python Projects,Withdrawn
PEP 648,Extensible customizations of the interpreter at startup,Rejected
PEP 640,Unused variable syntax,Rejected
PEP 641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
PEP 645,Allow writing optional types as ,Withdrawn
PEP 642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
PEP 631,Dependency specification in pyproject.toml based on PEP 508,Superseded
PEP 633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
PEP 662,Editable installs via virtual wheels,Rejected
PEP 620,Hide implementation details from the C API,Withdrawn
PEP 637,Support for indexing with keyword arguments,Rejected
PEP 611,The one million limit,Withdrawn
PEP 608,Coordinated Python release,Rejected
PEP 606,Python Compatibility Version,Rejected
PEP 599,The manylinux2014 Platform Tag,Superseded
PEP 595,Improving bugs.python.org,Withdrawn
PEP 583,A Concurrency Memory Model for Python,Withdrawn
PEP 598,Introducing incremental feature releases,Withdrawn
PEP 605,A rolling feature release stream for CPython,Rejected
PEP 582,Python local packages directory,Rejected
PEP 576,Rationalize Built-in function classes,Withdrawn
PEP 622,Structural Pattern Matching,Superseded
PEP 571,The manylinux2010 Platform Tag,Superseded
PEP 559,Built-in noop(),Rejected
PEP 580,The C call protocol,Rejected
PEP 601,Forbid return/break/continue breaking out of finally,Rejected
PEP 575,Unifying function/method classes,Withdrawn
PEP 555,Context-local variables (contextvars),Withdrawn
PEP 551,Security transparency in the Python runtime,Withdrawn
PEP 549,Instance Descriptors,Rejected
PEP 548,More Flexible Loop Control,Rejected
PEP 558,Defined semantics for locals(),Withdrawn
PEP 550,Execution Context,Withdrawn
PEP 546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
PEP 554,Multiple Interpreters in the Stdlib,Superseded
PEP 542,Dot Notation Assignment In Function Header,Rejected
PEP 536,Final Grammar for Literal String Interpolation,Withdrawn
PEP 531,Existence checking operators,Withdrawn
PEP 577,Augmented Assignment Expressions,Withdrawn
PEP 521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
PEP 516,Build system abstraction for pip/conda etc,Rejected
PEP 543,A Unified TLS API for Python,Withdrawn
PEP 522,Allow BlockingIOError in security sensitive APIs,Rejected
PEP 510,Specialize functions with guards,Rejected
PEP 509,Add a private version to dict,Superseded
PEP 507,Migrate CPython to Git and GitLab,Rejected
PEP 511,API for code transformers,Rejected
PEP 513,A Platform Tag for Portable Linux Built Distributions,Superseded
PEP 504,Using the System RNG by default,Withdrawn
PEP 502,String Interpolation - Extended Discussion,Rejected
PEP 500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
PEP 490,Chain exceptions at C level,Rejected
PEP 496,Environment Markers,Rejected
PEP 481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
PEP 497,A standard mechanism for backward compatibility,Rejected
PEP 473,Adding structured data to built-in exceptions,Rejected
PEP 472,Support for indexing with keyword arguments,Rejected
PEP 474,Creating forge.python.org,Withdrawn
PEP 469,Migration of dict iteration code to Python 3,Withdrawn
PEP 460,Add binary interpolation and formatting,Withdrawn
PEP 463,Exception-catching expressions,Rejected
PEP 459,Standard Metadata Extensions for Python Software Packages,Withdrawn
PEP 462,Core development workflow automation for CPython,Withdrawn
PEP 439,Inclusion of implicit pip bootstrap in Python installation,Rejected
PEP 431,Time zone support improvements,Superseded
PEP 433,Easier suppression of file descriptor inheritance,Superseded
PEP 437,"A DSL for specifying signatures, annotations and argument converters",Rejected
PEP 455,Adding a key-transforming dictionary to collections,Rejected
PEP 416,Add a frozendict builtin type,Rejected
PEP 411,Provisional packages in the Python standard library,Superseded
PEP 408,Standard library __preview__ package,Rejected
PEP 406,Improved Encapsulation of Import State,Withdrawn
PEP 422,Simpler customisation of class creation,Withdrawn
PEP 413,Faster evolution of the Python Standard Library,Withdrawn
PEP 410,Use decimal.Decimal type for timestamps,Rejected
PEP 396,Module Version Numbers,Rejected
PEP 401,BDFL Retirement,April Fool!
PEP 402,Simplified Package Layout and Partitioning,Rejected
PEP 432,Restructuring the CPython startup sequence,Withdrawn
PEP 382,Namespace Packages,Rejected
PEP 390,Static metadata for Distutils,Rejected
PEP 379,Adding an Assignment Expression,Withdrawn
PEP 377,Allow __enter__() methods to skip the statement body,Rejected
PEP 395,Qualified Names for Modules,Withdrawn
PEP 369,Post import hooks,Withdrawn
PEP 365,Adding the pkg_resources module,Rejected
PEP 426,Metadata for Python Software Packages 2.0,Withdrawn
PEP 364,Transitioning to the Py3K Standard Library,Withdrawn
PEP 386,Changing the version comparison module in Distutils,Superseded
PEP 367,New Super,Superseded
PEP 381,Mirroring infrastructure for PyPI,Withdrawn
PEP 359,The “make” Statement,Withdrawn
PEP 355,Path - Object oriented filesystem paths,Rejected
PEP 351,The freeze protocol,Rejected
PEP 363,Syntax For Dynamic Attribute Access,Rejected
PEP 354,Enumerations in Python,Superseded
PEP 345,Metadata for Python Software Packages 1.2,Superseded
PEP 348,Exception Reorganization for Python 3.0,Rejected
PEP 344,Exception Chaining and Embedded Tracebacks,Superseded
PEP 346,User Defined (”,Withdrawn
PEP 350,Codetags,Rejected
PEP 336,Make None Callable,Rejected
PEP 339,Design of the CPython Compiler,Withdrawn
PEP 332,Byte vectors and String/Unicode Unification,Rejected
PEP 334,Simple Coroutines via SuspendIteration,Withdrawn
PEP 335,Overloadable Boolean Operators,Rejected
PEP 340,Anonymous Block Statements,Rejected
PEP 329,Treating Builtins as Constants in the Standard Library,Rejected
PEP 349,Allow str() to return unicode strings,Rejected
PEP 321,Date/Time Parsing and Formatting,Withdrawn
PEP 326,A Case for Top and Bottom Values,Rejected
PEP 319,Python Synchronize/Asynchronize Block,Rejected
PEP 325,Resource-Release Support for Generators,Rejected
PEP 315,Enhanced While Loop,Rejected
PEP 313,Adding Roman Numeral Literals to Python,Rejected
PEP 314,Metadata for Python Software Packages 1.1,Superseded
PEP 306,How to Change Python’s Grammar,Withdrawn
PEP 310,Reliable Acquisition/Release Pairs,Rejected
PEP 303,Extend divmod() for Multiple Divisors,Rejected
PEP 304,Controlling Generation of Bytecode Files,Withdrawn
PEP 317,Eliminate Implicit Exception Instantiation,Rejected
PEP 298,The Locked Buffer Interface,Withdrawn
PEP 294,Type Names in the types Module,Rejected
PEP 297,Support for System Upgrades,Rejected
PEP 295,Interpretation of multiline string constants,Rejected
PEP 299,Special __main__() function in modules,Rejected
PEP 296,Adding a bytes Object Type,Withdrawn
PEP 281,Loop Counter Iteration with range and xrange,Rejected
PEP 288,Generators Attributes and Exceptions,Withdrawn
PEP 330,Python Bytecode Verification,Rejected
PEP 275,Switching on Multiple Values,Rejected
PEP 270,uniq method for list objects,Rejected
PEP 271,Prefixing sys.path by command line option,Rejected
PEP 276,Simple Iterator for ints,Rejected
PEP 284,Integer for-loops,Rejected
PEP 268,Extended HTTP functionality and WebDAV,Rejected
PEP 259,Omit printing newline after newline,Rejected
PEP 254,Making Classes Look More Like Types,Rejected
PEP 265,Sorting Dictionaries by Value,Rejected
PEP 262,A Database of Installed Python Packages,Rejected
PEP 256,Docstring Processing System Framework,Rejected
PEP 266,Optimizing Global Variable/Attribute Access,Withdrawn
PEP 258,Docutils Design Specification,Rejected
PEP 245,Python Interface Syntax,Rejected
PEP 242,Numeric Kinds,Withdrawn
PEP 244,The ,Rejected
PEP 241,Metadata for Python Software Packages,Superseded
PEP 243,Module Repository Upload Mechanism,Withdrawn
PEP 246,Object Adaptation,Rejected
PEP 239,Adding a Rational Type to Python,Rejected
PEP 231,__findattr__(),Rejected
PEP 240,Adding a Rational Literal to Python,Rejected
PEP 220,"Coroutines, Generators, Continuations",Rejected
PEP 224,Attribute Docstrings,Rejected
PEP 225,Elementwise/Objectwise Operators,Rejected
PEP 216,Docstring Format,Withdrawn
PEP 215,String Interpolation,Superseded
PEP 212,Loop Counter Iteration,Rejected
PEP 228,Reworking Python’s Numeric Model,Withdrawn
PEP 210,Decoupling the Interpreter Loop,Rejected
PEP 206,Python Advanced Library,Withdrawn
PEP 204,Range Literals,Rejected
PEP 42,Feature Requests,Withdrawn
PEP 3,Guidelines for Handling Bug Reports,Withdrawn
PEP 211,Adding A New Outer Product Operator,Rejected
PEP 103,Collecting information about git,Withdrawn
PEP 9,Sample Plaintext PEP Template,Withdrawn
PEP 102,Doing Python Micro Releases,Superseded
PEP 209,Multi-dimensional Arrays,Withdrawn
PEP 3143,Standard daemon process library,Deferred
PEP 3150,Statement local namespaces (aka “given” clause),Deferred
PEP 674,Disallow using macros as l-values,Deferred
PEP 556,Threaded garbage collection,Deferred
PEP 3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
PEP 568,Generator-sensitivity for Context Variables,Deferred
PEP 547,Running extension modules using the -m option,Deferred
PEP 535,Rich comparison chaining,Deferred
PEP 534,Improved Errors for Missing Standard Library Modules,Deferred
PEP 734,Multiple Interpreters in the Stdlib,Deferred
PEP 499,,Deferred
PEP 505,None-aware operators,Deferred
PEP 533,Deterministic cleanup for iterators,Deferred
PEP 491,The Wheel Binary Package Format 1.9,Deferred
PEP 532,A circuit breaking protocol and binary operators,Deferred
PEP 447,Add __getdescriptor__ method to metaclass,Deferred
PEP 407,New release cycle and introducing long-term support versions,Deferred
PEP 419,Protecting cleanup statements from interruptions,Deferred
PEP 400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
PEP 403,General purpose decorator clause (aka “@in” clause),Deferred
PEP 501,General purpose string interpolation,Deferred
PEP 337,Logging Usage in the Standard Library,Deferred
PEP 323,Copyable Iterators,Deferred
PEP 312,Simple Implicit Lambda,Deferred
PEP 368,Standard image protocol and class,Deferred
PEP 286,Enhanced Argument Tuples,Deferred
PEP 280,Optimizing access to globals,Deferred
PEP 444,Python Web3 Interface,Deferred
PEP 316,Programming by Contract for Python,Deferred
